# Time,Net_Displacement
0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,3.984795001615157872e-01
2.000000000000000000e+00,8.240681637269280380e-01
3.000000000000000000e+00,9.989355751090343016e-01
4.000000000000000000e+00,1.414213562373096922e+00
5.000000000000000000e+00,1.719227998949530711e+00
6.000000000000000000e+00,2.163120047169890814e+00
7.000000000000000000e+00,2.407245580230950921e+00
8.000000000000000000e+00,2.828427124746189403e+00
9.000000000000000000e+00,3.122931941732806749e+00
1.000000000000000000e+01,3.560770750619628888e+00
1.100000000000000000e+01,3.819920193389449992e+00
1.200000000000000000e+01,4.242640687119284770e+00
1.300000000000000000e+01,4.533173602788456158e+00
1.400000000000000000e+01,4.967805183224104582e+00
1.500000000000000000e+01,5.233426151593955744e+00
1.600000000000000000e+01,5.656854249492381470e+00
1.700000000000000000e+01,5.945302508143811338e+00
1.800000000000000000e+01,6.378016018988058811e+00
1.900000000000000000e+01,6.647233129995557377e+00
2.000000000000000000e+01,7.071067811865478170e+00
2.100000000000000000e+01,7.358232186718773882e+00
2.200000000000000000e+01,7.789678320602737571e+00
2.300000000000000000e+01,8.061182747266903093e+00
2.400000000000000000e+01,8.485281374238569541e+00
2.500000000000000000e+01,8.771575680229132033e+00
2.600000000000000000e+01,9.202124121009685354e+00
2.700000000000000000e+01,9.475211147259813060e+00
2.800000000000000000e+01,9.899494936611667129e+00
2.900000000000000000e+01,1.018516072108389636e+01
3.000000000000000000e+01,1.061504066588858031e+01
3.100000000000000000e+01,1.088928763902761787e+01
3.200000000000000000e+01,1.131370849898476294e+01
3.300000000000000000e+01,1.159889899579409445e+01
3.400000000000000000e+01,1.202826206641958429e+01
3.500000000000000000e+01,1.230339564046457390e+01
3.600000000000000000e+01,1.272792206135785698e+01
3.700000000000000000e+01,1.301274056127133605e+01
3.800000000000000000e+01,1.344169216797008559e+01
3.900000000000000000e+01,1.371752540679716503e+01
4.000000000000000000e+01,1.414213562373095279e+01
4.100000000000000000e+01,1.442665504943122201e+01
4.200000000000000000e+01,1.485527139901753202e+01
4.300000000000000000e+01,1.513167083591395112e+01
4.400000000000000000e+01,1.555634918610404860e+01
4.500000000000000000e+01,1.584062293331932914e+01
4.600000000000000000e+01,1.626896088686884312e+01
4.700000000000000000e+01,1.654582791179612400e+01
4.800000000000000000e+01,1.697056274847714263e+01
4.900000000000000000e+01,1.725463108605702445e+01
5.000000000000000000e+01,1.768273418729321733e+01
5.100000000000000000e+01,1.795999388326997348e+01
5.200000000000000000e+01,1.838477631085023489e+01
5.300000000000000000e+01,1.866867035747988979e+01
5.400000000000000000e+01,1.909657268565404564e+01
5.500000000000000000e+01,1.937416680240514921e+01
5.600000000000000000e+01,1.979898987322332715e+01
5.700000000000000000e+01,2.008273417432425489e+01
5.800000000000000000e+01,2.051046289917583110e+01
5.900000000000000000e+01,2.078834525131187405e+01
6.000000000000000000e+01,2.121320343559642652e+01
6.100000000000000000e+01,2.149681769278640076e+01
6.200000000000000000e+01,2.192439482262778938e+01
6.300000000000000000e+01,2.220252817334242224e+01
6.400000000000000000e+01,2.262741699796952233e+01
6.500000000000000000e+01,2.291091726485906932e+01
6.600000000000000000e+01,2.333836087514433899e+01
6.700000000000000000e+01,2.361671476493686228e+01
6.800000000000000000e+01,2.404163056034261459e+01
6.900000000000000000e+01,2.432503009078386214e+01
7.000000000000000000e+01,2.475235520790836574e+01
7.100000000000000000e+01,2.503090440413030748e+01
7.200000000000000000e+01,2.545584412271571040e+01
7.300000000000000000e+01,2.573915398605524274e+01
7.400000000000000000e+01,2.616637323624480160e+01
7.500000000000000000e+01,2.644509660199850742e+01
7.600000000000000000e+01,2.687005768508880621e+01
7.700000000000000000e+01,2.715328722122216121e+01
7.800000000000000000e+01,2.758041131561435577e+01
7.900000000000000000e+01,2.785929096889143963e+01
8.000000000000000000e+01,2.828427124746190557e+01
8.100000000000000000e+01,2.856742840926550286e+01
8.200000000000000000e+01,2.899446651239626860e+01
8.300000000000000000e+01,2.927348719045408387e+01
8.400000000000000000e+01,2.969848480983500139e+01
8.500000000000000000e+01,2.998157642484519059e+01
8.600000000000000000e+01,3.040853643861322908e+01
8.700000000000000000e+01,3.068768501027736662e+01
8.800000000000000000e+01,3.111269837220809364e+01
8.900000000000000000e+01,3.139573034536950402e+01
9.000000000000000000e+01,3.182261913071374337e+01
9.100000000000000000e+01,3.210188421713474582e+01
9.200000000000000000e+01,3.252691193458118590e+01
9.300000000000000000e+01,3.280988940730338754e+01
9.400000000000000000e+01,3.323671295929349867e+01
9.500000000000000000e+01,3.351608463545000660e+01
9.600000000000000000e+01,3.394112549695427816e+01
9.700000000000000000e+01,3.422405297330814022e+01
9.800000000000000000e+01,3.465081656091913942e+01
9.900000000000000000e+01,3.493028611808055928e+01
1.000000000000000000e+02,3.535533905932737753e+01
1.010000000000000000e+02,3.563822050720440870e+01
1.020000000000000000e+02,3.606492878598914587e+01
1.030000000000000000e+02,3.634448854078558355e+01
1.040000000000000000e+02,3.676955262170047689e+01
1.050000000000000000e+02,3.705239155466821188e+01
1.060000000000000000e+02,3.747904865839671373e+01
1.070000000000000000e+02,3.775869179793730268e+01
1.080000000000000000e+02,3.818376618407356915e+01
1.090000000000000000e+02,3.846656572818492492e+01
1.100000000000000000e+02,3.889317534399150134e+01
1.110000000000000000e+02,3.917289579916118925e+01
1.120000000000000000e+02,3.959797974644666141e+01
1.130000000000000000e+02,3.988074269520433290e+01
1.140000000000000000e+02,4.030730812567949073e+01
1.150000000000000000e+02,4.058710046667860638e+01
1.160000000000000000e+02,4.101219330881975367e+01
1.170000000000000000e+02,4.129492216872936439e+01
1.180000000000000000e+02,4.172144638358631852e+01
1.190000000000000000e+02,4.200130573318627114e+01
1.200000000000000000e+02,4.242640687119284593e+01
1.210000000000000000e+02,4.270910389977456845e+01
1.220000000000000000e+02,4.313558957912211156e+01
1.230000000000000000e+02,4.341551154015012770e+01
1.240000000000000000e+02,4.384062043356593819e+01
1.250000000000000000e+02,4.412328767127470286e+01
1.260000000000000000e+02,4.454973724208110752e+01
1.270000000000000000e+02,4.482971783642221908e+01
1.280000000000000000e+02,4.525483399593904466e+01
1.290000000000000000e+02,4.553747329312844272e+01
1.300000000000000000e+02,4.596388896012246761e+01
1.310000000000000000e+02,4.624392457711126525e+01
1.320000000000000000e+02,4.666904755831213691e+01
1.330000000000000000e+02,4.695166059813762161e+01
1.340000000000000000e+02,4.737804437013485881e+01
1.350000000000000000e+02,4.765813172265439590e+01
1.360000000000000000e+02,4.808326112068522917e+01
1.370000000000000000e+02,4.836584943865900499e+01
1.380000000000000000e+02,4.879220315110261197e+01
1.390000000000000000e+02,4.907233923804938058e+01
1.400000000000000000e+02,4.949747468305832143e+01
1.410000000000000000e+02,4.978003968382663658e+01
1.420000000000000000e+02,5.020636501817740793e+01
1.430000000000000000e+02,5.048654709221580816e+01
1.440000000000000000e+02,5.091168824543142080e+01
1.450000000000000000e+02,5.119423121723460213e+01
1.460000000000000000e+02,5.162052971772440202e+01
1.470000000000000000e+02,5.190075525746082974e+01
1.480000000000000000e+02,5.232590180780452016e+01
1.490000000000000000e+02,5.260842393499353875e+01
1.500000000000000000e+02,5.303469702316086654e+01
1.510000000000000000e+02,5.331496370902985404e+01
1.520000000000000000e+02,5.374011537017761242e+01
1.530000000000000000e+02,5.402261774409237205e+01
1.540000000000000000e+02,5.444886673144326039e+01
1.550000000000000000e+02,5.472917242472695420e+01
1.560000000000000000e+02,5.515432893255070468e+01
1.570000000000000000e+02,5.543681256101081800e+01
1.580000000000000000e+02,5.586303866008783103e+01
1.590000000000000000e+02,5.614338138459257266e+01
1.600000000000000000e+02,5.656854249492380404e+01
1.610000000000000000e+02,5.685100831053895831e+01
1.620000000000000000e+02,5.727721264463266948e+01
1.630000000000000000e+02,5.755759057062881823e+01
1.640000000000000000e+02,5.798275605729689630e+01
1.650000000000000000e+02,5.826520492476871738e+01
1.660000000000000000e+02,5.869138853646647647e+01
1.670000000000000000e+02,5.897179996656420542e+01
1.680000000000000000e+02,5.939696961966998856e+01
1.690000000000000000e+02,5.967940234222873386e+01
1.700000000000000000e+02,6.010556620096402014e+01
1.710000000000000000e+02,6.038600955765156186e+01
1.720000000000000000e+02,6.081118318204308792e+01
1.730000000000000000e+02,6.109360050713936374e+01
1.740000000000000000e+02,6.151974551587861839e+01
1.750000000000000000e+02,6.180021933049354033e+01
1.760000000000000000e+02,6.222539674441617308e+01
1.770000000000000000e+02,6.250779936876885756e+01
1.780000000000000000e+02,6.293392636995142198e+01
1.790000000000000000e+02,6.321442927289172786e+01
1.800000000000000000e+02,6.363961030678926534e+01
1.810000000000000000e+02,6.392199888087499460e+01
1.820000000000000000e+02,6.434810866170400345e+01
1.830000000000000000e+02,6.462863937371537304e+01
1.840000000000000000e+02,6.505382386916237181e+01
1.850000000000000000e+02,6.533619900121912849e+01
1.860000000000000000e+02,6.576229229838682500e+01
1.870000000000000000e+02,6.604284962278714488e+01
1.880000000000000000e+02,6.646803743153546407e+01
1.890000000000000000e+02,6.675039969114214955e+01
1.900000000000000000e+02,6.717647719506038584e+01
1.910000000000000000e+02,6.745706001078315239e+01
1.920000000000000000e+02,6.788225099390855632e+01
1.930000000000000000e+02,6.816460091519316222e+01
1.940000000000000000e+02,6.859066327379017025e+01
1.950000000000000000e+02,6.887127052914533465e+01
1.960000000000000000e+02,6.929646455628164858e+01
1.970000000000000000e+02,6.957880264080343125e+01
1.980000000000000000e+02,7.000485046293911751e+01
1.990000000000000000e+02,7.028548117000441664e+01
